2024-01-12 07:03:11,120 : INFO : Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
2024-01-12 07:03:12,531 : INFO : Loading these models for language: en (English):
============================================
| Processor    | Package                   |
--------------------------------------------
| tokenize     | combined                  |
| mwt          | combined                  |
| pos          | combined_charlm           |
| lemma        | combined_nocharlm         |
| constituency | ptb3-revised_charlm       |
| depparse     | combined_charlm           |
| sentiment    | sstplus                   |
| ner          | ontonotes-ww-multi_charlm |
============================================

2024-01-12 07:03:12,532 : INFO : Using device: cpu
2024-01-12 07:03:12,532 : INFO : Loading: tokenize
2024-01-12 07:03:12,788 : INFO : Loading: mwt
2024-01-12 07:03:12,810 : INFO : Loading: pos
2024-01-12 07:03:13,139 : INFO : Loading: lemma
2024-01-12 07:03:13,284 : INFO : Loading: constituency
2024-01-12 07:03:13,757 : INFO : Loading: depparse
2024-01-12 07:03:14,027 : INFO : Loading: sentiment
2024-01-12 07:03:14,310 : INFO : Loading: ner
2024-01-12 07:03:14,826 : INFO : Done loading processors!
2024-01-12 07:03:17,731 : WARNING : No results for [Lethal anuria], Retry [anuria]
2024-01-12 07:03:19,270 : WARNING : No results for [high dose ifosfamide chemotherapy], Retry [dose ifosfamide chemotherapy]
2024-01-12 07:03:19,957 : WARNING : No results for [dose ifosfamide chemotherapy], Retry [ifosfamide chemotherapy]
2024-01-12 07:03:21,511 : WARNING : No results for [a breast cancer], Retry [breast cancer]
2024-01-12 07:03:23,234 : WARNING : No results for [an impaired renal function], Retry [impaired renal function]
2024-01-12 07:03:28,808 : WARNING : No results for [oral sulphasalazine], Retry [sulphasalazine]
2024-01-12 07:03:30,362 : WARNING : No results for [sero - negative rheumatoid arthritis], Retry [- negative rheumatoid arthritis]
2024-01-12 07:03:33,725 : WARNING : No results for [a dramatic condition], Retry [dramatic condition]
2024-01-12 07:03:34,339 : WARNING : No results for [dramatic condition], Retry [condition]
2024-01-12 07:03:35,900 : WARNING : No results for [previous studies], Retry [studies]
2024-01-12 07:03:38,652 : WARNING : No results for [subcutaneous changes], Retry [changes]
2024-01-12 07:03:40,327 : WARNING : No results for [repeated glatiramer acetate injection], Retry [glatiramer acetate injection]
2024-01-12 07:03:45,681 : WARNING : No results for [phenytoin intoxication], Retry [intoxication]
2024-01-12 07:03:54,175 : WARNING : No results for [tolazoline therapy], Retry [therapy]
2024-01-12 07:03:55,987 : WARNING : No results for [chlorambucil central nervous toxicity], Retry [central nervous toxicity]
2024-01-12 07:03:56,753 : WARNING : No results for [central nervous toxicity], Retry [nervous toxicity]
2024-01-12 07:03:57,429 : WARNING : No results for [nervous toxicity], Retry [toxicity]
2024-01-12 07:04:03,966 : WARNING : No results for [induced photosensitivity reactions], Retry [photosensitivity reactions]
2024-01-12 07:04:05,514 : WARNING : No results for [Severe bleomycin lung toxicity], Retry [bleomycin lung toxicity]
2024-01-12 07:04:06,129 : WARNING : No results for [bleomycin lung toxicity], Retry [lung toxicity]
2024-01-12 07:04:06,816 : WARNING : No results for [lung toxicity], Retry [toxicity]
2024-01-12 07:04:08,623 : WARNING : No results for [high dose corticosteroids], Retry [dose corticosteroids]
2024-01-12 07:04:09,399 : WARNING : No results for [dose corticosteroids], Retry [corticosteroids]
2024-01-12 07:04:11,282 : WARNING : No results for [Poorly controlled hypertension], Retry [controlled hypertension]
2024-01-12 07:04:12,928 : WARNING : No results for [chronic lead toxicity], Retry [lead toxicity]
2024-01-12 07:04:14,506 : WARNING : No results for [Additive pulmonary toxicity], Retry [pulmonary toxicity]
2024-01-12 07:04:17,093 : WARNING : No results for [busulfan therapy], Retry [therapy]
2024-01-12 07:04:19,830 : WARNING : No results for [sicca complex], Retry [complex]
2024-01-12 07:04:21,621 : WARNING : No results for [thiabendazole therapy], Retry [therapy]
2024-01-12 07:04:27,772 : WARNING : No results for [Extensive immunological investigations], Retry [immunological investigations]
2024-01-12 07:04:28,532 : WARNING : No results for [immunological investigations], Retry [investigations]
2024-01-12 07:04:30,208 : WARNING : No results for [definite seronegative rheumatoid arthritis], Retry [seronegative rheumatoid arthritis]
2024-01-12 07:04:34,549 : WARNING : No results for [nondetectable sertraline], Retry [sertraline]
2024-01-12 07:04:36,323 : WARNING : No results for [desmethylsertraline blood levels], Retry [blood levels]
2024-01-12 07:04:38,073 : WARNING : No results for [the lamotrigine blood level], Retry [lamotrigine blood level]
2024-01-12 07:04:38,810 : WARNING : No results for [lamotrigine blood level], Retry [blood level]
2024-01-12 07:04:40,501 : WARNING : No results for [symptoms of toxicity], Retry [toxicity]
2024-01-12 07:04:43,074 : WARNING : No results for [a nonsteroidal antiinflammatory agent], Retry [nonsteroidal antiinflammatory agent]
2024-01-12 07:04:46,476 : WARNING : No results for [mild fever], Retry [fever]
2024-01-12 07:04:52,125 : WARNING : No results for [disulfiram therapy], Retry [therapy]
2024-01-12 07:04:53,954 : WARNING : No results for [spontaneous sub - conjunctival haematoma], Retry [sub - conjunctival haematoma]
2024-01-12 07:04:54,583 : WARNING : No results for [sub - conjunctival haematoma], Retry [- conjunctival haematoma]
2024-01-12 07:04:55,269 : WARNING : No results for [- conjunctival haematoma], Retry [conjunctival haematoma]
2024-01-12 07:04:55,892 : WARNING : No results for [conjunctival haematoma], Retry [haematoma]
2024-01-12 07:05:04,233 : WARNING : No results for [the psychosis], Retry [psychosis]
2024-01-12 07:05:10,625 : WARNING : No results for [an eruption], Retry [eruption]
2024-01-12 07:05:12,233 : WARNING : No results for [an exfoliative dermatitis], Retry [exfoliative dermatitis]
2024-01-12 07:05:15,796 : WARNING : No results for [triptan use], Retry [use]
2024-01-12 07:05:20,644 : WARNING : No results for [a colon cancer], Retry [colon cancer]
2024-01-12 07:05:22,268 : WARNING : No results for [severe mucositis], Retry [mucositis]
